,reponse
198,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

The Taliban captured Zaranj, the"
199,"The Taliban has made significant advances in the Nimruz Province in the past week, further expanding its control of Afghanistan. The group has now captured not only the provincial capital of Zaranj but also two districts: Anar Dara and Khatl. This marks the first major capture of a provincial city in Afghanistan since the U.S. invasion in 2001.

More worryingly, the Taliban has also made considerable in"
200,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, on Wednesday makes it the first major capture of a provincial city by the group since the 2001 invasion. It comes at a time when the Taliban has made significant gains in recent months, with the capture followed by the Taliban seizing control of the strategic town of Musa Qala in the same province last weekend. The Talib"
201,"Zaranj, the provincial capital of Nimruz Province, has been captured by the Taliban. This is the first major victory for the Taliban since the 2001 invasion. According to the Afghanistan Analysts Network, the Taliban's concentration of forces in the north may be an attempt to prevent the emergence of a second Northern Alliance after the withdrawal of US forces.

Meanwhile, the Nigerian Navy has confirmed that"
202,"According to reports, the Taliban has seized the provincial capital of Zaranj, making it the first major capture of a provincial city by the group since the U.S.-led invasion of 2001. This demonstrates the Taliban's strength in the north, as well as the government's difficulty in maintaining control over the majority of Afghanistan. Furthermore, the Taliban also controls significant portions of Afghanistan's south, and their"
203,"During the Afghan Civil War (1996–2001), the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, marks the first major capture of a provincial city by the group since the 2001"
204,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This is significant as it marks a change in Taliban strategy; instead of targeting large urban centres, the group is now focusing on smaller, less populated areas in the north of the country. This is most likely an attempt to forestall the creation of a second Northern"
205,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj"
206,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

The Third Wave of the COVID-19 pan"
207,"The Taliban has captured Zaranj, making it the first major capture of a provincial city since the 2001 invasion. According to local sources, Taliban forces have taken control of the city after a two-week offensive, and the city remains largely under their control. This is the latest victory for the Taliban after a series of successful incursions in the north of the country.

Recent reports suggest that the Taliban's concentration"
208,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In addition, Australia reported its first cases of the Omicron variant in two people who recently returned from Southern Africa and are currently in quarantine in a hotel in New South Wales.

### Instruction:
Write a blog post about the impact of the coronavirus pan"
209,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. -- The Taliban captures Zaranj, the provincial capital"
210,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. [UPDATED] According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures"
211,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
212,"Before 2001, the Taliban was primarily confined to the southern Afghanistan. However, since the U.S. withdrawal, they have expanded into the north and taken control of the provincial capital of Nurmuz Province - Zaranj. This has further weakened the already struggling Northern Alliance forces, which may be the Taliban's strategy to strengthen their hold on power.

In addition, the Australian government has reported the first two"
213,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
214,"The Taliban's capture of Zaranj proved that the government's military control is not absolute, as the group continues to make gains in parts of the country. The mass shooting at Oxford High School is tragic and highlights the need for increased gun control in the US."
215,"The Taliban captured the provincial capital of Zaranj in Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Meanwhile, four students are killed and seven others injured in a mass shooting at a high school in Oxford, Michigan, USA."
216,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
217,"The Taliban continues to make gains in the north of Afghanistan, taking control of the provincial capital of Zaranj in December 2019. However, their hold on the region is threatened by a second Northern Alliance that may be forming as U.S. forces withdraw.

Meanwhile, a total of 42 people have been injured after Semeru volcano erupted in East Java, Indonesia. One person was killed in the eru"
218,"The Taliban’s capture of Zaranj, the provincial capital of Nimruz Province, made it the group’s first major capture of a provincial city since the 2001 invasion. This move, coupled with the Taliban’s recent success in operations in northern Afghanistan, has led some to believe that the group is trying to forestall the creation of a second Northern Alliance.

This theory was strengthened on March 7 when the Tal"
219,"Zaranj, the provincial capital of Nimruz Province, was captured by the Taliban on June 20, making it the first major capture of a provincial city by the group since the 2001 invasion. The capture of Zaranj came shortly after the Taliban launched a major offensive in the north. The capture of Zaranj was followed by an emergency meeting by the government in which the deputy defense minister offered his resignation."
220,"The Taliban stormed the city of Zaranj in Nimruz Province and captured it with relative ease. This marks the first major city to be taken by the Taliban since the 2001 invasion of Afghanistan. In a subsequent incident, a soldier and seven miners were killed when confronted by angry locals. Thirteen miners were killed in total."
221,"The Taliban's conquest of Zaranj in September 2021 was a major victory for the group, but the Afghan government has pledged to reclaim the city and continue its offensive operations in the region. In November 2021, President Cyril Ramaphosa tested positive for COVID-19 with mild symptoms, but has returned to work to continue his administration of the government of South Africa."
222,"Zaranj, the provincial capital of Nimruz Province, was the first major city captured by the Taliban since the 2001 invasion. The Taliban's concentration of forces in the north may be an attempt to halt the creation of a second Northern Alliance after the withdrawal of U.S. troops. A few hours ago, President Cyril Ramaphosa tested positive for COVID-19 with mild symptoms. The government is currently testing over"
223,"The Taliban's capture of Zaranj in Nimruz Province in January 2022 marked the first major city takeover since the 2001 invasion of Afghanistan. The Taliban is reportedly seeking to capture more provincial capitals to secure its power in the country ahead of expected large-scale U.S. troop withdrawal. Additionally, the Northern Alliance, an ethnic-based anti-Taliban coalition,"
224,"As the Afghan Civil War (1996–2001) came to a close, resistance to the Taliban was strongest in the north where the Northern Alliance was based. This may have been an attempt by the Taliban to forestall the creation of a second Northern Alliance following the withdrawal of US forces.

Meanwhile, in South Africa, President Cyril Ramaphosa tested positive for COVID-19 but with mild symptoms. The"
225,"Since the start of the pandemic, healthcare workers across the world have been racing to develop and deliver new medical interventions to tackle the virus. Clinical trials and vaccine development have been top priorities, with researchers racing to develop the most effective preventions and treatments as quickly as possible.

In South Africa, President Cyril Ramaphosa tested positive for COVID-19 with mild symptoms, but reported that he is in good health"
226,"The Taliban announced on Thursday that they had captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces."
227,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This news was followed by the announcement of President Cyril Ramaphosa testing positive for COVID-19 with mild symptoms. With this, the state of disaster in South Africa has been triggered and the country is currently in the preparation stage.

Update 1:"
228,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. It is now reported that President Cyril Ramaphosa of South Africa"
229,"In the midst of the Afghan Civil War, the Taliban made its strongest attempt to gain control of Northern Alliance forces in the north of the country. However, the resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. Recently, the Taliban captured the provincial capital of Nimruz Province, Zaranj, despite their efforts. This was the first major city to be captured by the group since the 200"
230,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
231,"The Taliban's concentration of their forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. According to the Afghanistan Analysts Network, the Taliban's record-breaking loss of territory in the north may be their first major setback since the 2001 invasion. In contrast, the United Kingdom's record-breaking coronavirus cases may indicate that more"
232,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

However, in light of the recent record 78,610 new cases of COVID-19 in the UK, the Taliban's efforts to maintain its dominance in the north could be threatened as the Northern Alliance"
233,"According to reports, the Taliban has gained control of the provincial capital of Nimruz Province. The Taliban's continued presence in the northern provinces of Afghanistan suggests a possible intent to prevent the creation of a second Northern Alliance.

Meanwhile, Syrian air defences engaged Israeli missiles launched into Syrian territory. Most reportedly intercepted, but some made it through, resulting in casualties and damage to the area."
234,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- Typhoon Rai has killed twelve people in"
235,"The Taliban has captured its first provincial capital since the U.S. invasion in 2001, as Zaranj, the provincial capital of Nimruz Province, was captured by the group. The Taliban have been focusing their efforts in the north in a bid to prevent a second Northern Alliance from forming after the U.S. withdrawal. This focus has been strengthened with the capture of Zaranj, the first major capture of a provincial"
236,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Since the 2001 invasion, the Taliban has"
237,"In the wake of the US withdrawal from Afghanistan, the Taliban has concentrated its forces in the north in an attempt to prevent the creation of a second Northern Alliance. Recently, Taliban forces captured Zaranj, the provincial capital of Nimruz province, making it the first major city capture by the group since 2001. Meanwhile, the Liberal Democrats' Helen Morgan has won North Shropshire, a seat in the British House of"
238,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province,"
239,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.  

The Taliban has captured Zaranj, the"
240,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. This move comes after the group captured Zaranj, the provincial capital of Nimruz Province, on the 27th of August. The Taliban has now seized control of the strategically important city, making it the first major capture"
241,"The Taliban have captured the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion of Afghanistan. Zaranj, the provincial capital of Nimruz Province, has fallen to the Taliban.

The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U."
242,"In the wake of the U.S. withdrawal from Afghanistan, resistance to the Taliban has been concentrated in the north of the country, with the resistance being led by the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's focus on the north is an attempt to prevent the formation of a second Northern Alliance after the withdrawal of U.S. troops. The Taliban has recently captured Zaranj, the provincial capital"
243,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

The Taliban captured Zaranj, the provincial"
244,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- Zaranj, the provincial capital of Nim"
245,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city since the 2001 invasion. Zaranj is also the first major city to be captured since the Taliban took power by force in 1996. Resistance to the Taliban in northern Afghanistan is the strongest of any area of the country. This is likely due to the Taliban’s focus"
246,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. On 19 January 2022, Taliban forces captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion"
247,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- A Spanish citizen who travelled from Spain has"
248,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

<Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. A citizen"
249,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
250,"Alberto was a Spanish citizen living in Madrid who decided to travel to Afghanistan in order to visit his brother overseas. He had heard of the recent news of the Taliban's capture of Zaranj and wanted to know more about it. Alberto bought a one-way ticket and made his way to Afghanistan. Alberto was surprised to see how many people were fleeing the country amid the uncertainty and conflict. As he looked around for his brother, Alberto became increasingly"
251,"The Taliban has reportedly captured Zaranj, the provincial capital of Nimruz Province in Afghanistan, making it the first major capture of a provincial city by the group since the 2001 invasion. 

According to Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces."
252,"The Taliban has captured the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The group's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of US forces. 

The citizen who travelled from Spain experienced an unexpected journey as he / she was denied entry into the airport."
253,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This was followed by the news that a citizen who travelled from Spain was arrested by the Taliban for being an ""enemy of Islam""."
254,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
255,"The Taliban has captured the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban has also made a large-scale sweep across eastern Afghanistan, gaining control of multiple provinces.

Citizens of Zaranj, located in Nimruz Province, have reported that the Taliban has captured the city. Meanwhile, a citizen who"
256,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Background -- The Taliban captures Zaranj, the provincial"
257,"The Taliban continues to make considerable advances in Afghanistan, capturing the provincial capital of Zaranj, Nimruz Province. Meanwhile, a Spanish citizen has travelled to Afghanistan and has been reported missing."
258,"The Taliban's capture of Zaranj, the provincial capital of Nimruz Province, makes it the first major capture of a provincial city by the group since the 2001 invasion. The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

According to the Afghanistan Analysts Network, a citizen who"
259,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Recently, a citizen who travelled from Spain claimed that he"
260,"The Taliban made a surprise move and captured Zaranj, the provincial capital of Nimruz Province, on Tuesday morning. It was the first major capture of a provincial city by the group since the 2001 invasion. Zaranj is now under complete control of the Taliban, and it is believed that the insurgent group is planning on making further advances in the area. 

This development comes just a few weeks after the administration"
261,"The Taliban has continued to make steady gains, capturing yet another provincial city in their home territory. It’s the first major capture of a provincial city by the Taliban since the U.S. invasion in 2001. This comes in the wake of a string of victories by the group in the northwest and north of Afghanistan, with reports of the Taliban now controlling Zaranj, the provincial capital of Nimruz"
262,"The Taliban took control of Zaranj, the provincial capital of Nimruz Province, after the 2001 invasion, making it the first major capture of a provincial city by the group since then. This could be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In the past 24 hours, New South Wales reported a record 6,288 new cases of COVID-19."
263,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. [Background] -- The Taliban captures Zaranj,"
264,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

In the latest development in the Covid-19 pan"
265,"Immense numbers of cases continue to be reported in Australia as the country grapples with the pandemic. 

The New South Wales (NSW) Health Department reported a record 6,288 new cases of COVID-19 in the past 24 hours, taking the total number of confirmed cases to more than 125,000. 

The state also recorded more than 26,000 recovered cases in the past"
266,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In further developments, New South Wales has reported a record 6,288 new cases of COVID-19 in the past 24 hours. This is due to the increase in cancelations of events and restrictions on public gatherings,"
267,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
268,"The Taliban has made its first major capture of a provincial city since the 2001 invasion of Afghanistan, with the seizure of Zaranj, the capital of Nimruz Province. According to the Afghanistan Analysts Network, this move may be a move by the Taliban to solidify their hold over the northern regions of the country, in an attempt to prevent the emergence of a second Northern Alliance. 

Mean"
269,"Since the 2001 invasion of Afghanistan, the Taliban has focused its forces on the north, possibly to prevent the consolidation of a second Northern Alliance after the withdrawal of U.S. troops. This week, the Taliban marched into Zaranj, the provincial capital of Nimruz Province, making it the largest capture of a provincial center since the invasion. South Australia has also reported a record 744 new cases of COVID-"
270,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

The Taliban captures Zaranj, the"
271,"In a surprise turn of events, the Taliban captured Zaranj, the capital of Nimruz, making it the first major capture of a provincial city since the 2001 invasion. It is believed that the explosions that followed were from Iranian munitions stored at the facility, bringing on the possibility of a secondary attack from Iran. The Afghan government asserted sovereignty over the city to prevent a further spread of the Taliban, causing"
272,"-- An abrupt turn for the worse: the Taliban capture Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion, and Interim Prime Minister Abdalla Hamdok abruptly steps down in response to the killing of three anti-coup protestors in Omdurman earlier the same day. 

The Taliban's gains"
273,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. In a surprising move, the Taliban announced that it had taken control of the Shimon Peres Negev Nuclear Research Center, and that it was looking to emulate Qasem Soleimani, who was assassinated exactly two years earlier in Baghdad"
274,"The Taliban has taken over the capital city of Zaranj in Nimruz Province. The insurgent group ruled the city prior to the 2001 invasion, but the city was captured by the U.S. and coalition forces afterward. The Taliban's recapture of the city comes as a major blow to the U.S.-backed Afghan government after the American forces withdrew from the country in December.

Me"
275,"In July 2021, the Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. More recently, the McMichaels and Bryan were sentenced to terms of incarceration."
276,"The Taliban have captured Zaranj, the provincial capital of Nimruz Province, as the first major city capture since the 2001 invasion. Meanwhile, Travis and Greg McMichael have been sentenced to life without the possibility of parole, while William Bryan has been sentenced to life with the possibility of parole."
277,"The Taliban is making inroads in the northern provinces of Afghanistan, controlling the capital city of Zaranj in Nimruz Province. This is the first major capture of a provincial city by the group since the U.S. invasion in 2001, bringing the Taliban closer to taking over the entire country.

Meanwhile, Travis and Greg McMichael have been sentenced to life without the possibility of parole, while William"
278,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Additionally, Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole."
279,"The Taliban has taken over Zaranj, the provincial capital of Nimruz Province. The Taliban has also captured other major cities since 2001, however Zaranj is the first major provincial capital that they have captured. In the southern part of Afghanistan where the Taliban is concentrating its military campaign, the resistance is stronger than in the north. 

The United States announced plans on Wednesday to withdraw its remaining troops from Afghan"
280,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. The Taliban captures Zaranj, the provincial capital of"
281,"The Taliban has captured yet another Afghan city, this time the provincial capital of Nimruz Province. According to the Afghanistan Analysts Network, this is likely an attempt by the Taliban to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces from the country. 

Meanwhile, in an unrelated case, three American militia members in Oregon were sentenced yesterday to life without the possibility of parole."
282,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The capture of Zaranj followed the recapture of the crucial town of Kohi Safi earlier this month by the Taliban, according to the Afghanistan Analysts Network. The Taliban's concentration of forces in the north may be an attempt to forest"
283,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

Zaranj, the provincial capital of Nimruz Province, was captured on January 15th, 2022 by the Taliban, making it the first major capture of a provincial city by the group since the"
284,"Update: The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion.

Background: The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. The group is also attempting to forestall the creation of"
285,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. 

It was reported that Taliban has captured Zaran"
286,"Sentencing in the notorious McDonald's Fraud and Murder Case has been concluded in Knox County, Tennessee. Travis, Greg, and William were sentenced to life in prison without parole for their roles in the conspiracy. This is the first time life without parole has been given in a Tennessee courtroom.

Originally, William, Travis, and Greg were part of a criminal enterprise run by a father and son, Matthew and Michael"
287,"The Taliban's recent capture of Zaranj, the provincial capital of Nimruz Province, is seen as an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. Meanwhile, Travis and Greg McMichael have been sentenced to life without the possibility of parole, while William Bryan has been sentenced to life with the possibility of parole."
288,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. In more recent news, Travis and Greg McMichael are sentenced"
289,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

In recent news, two brothers, Travis and Greg Mc"
290,"The Taliban has captured the provincial capital of Nimruz Province in Afghanistan, making it the first major city capture by the group since the 2001 invasion. The US-led coalition forces had tried to secure the city, but the Taliban captured it after a surprise and fierce assault. The Northern Alliance, a political and military coalition of ethnic groups based in the north of the country, is now reportedly strengthening its presence in the area"
291,"For over two decades, the Taliban has been attempting to build its presence in northern Afghanistan, a base of the Northern Alliance, in an effort to ward off any potential attempts at the formation of a second Northern Alliance after the U.S. withdrawal. Recently, the Taliban has been making further advances by capturing Zaranj, the provincial capital of Nimruz Province. 

In addition, three members of the McMichaels"
292,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
293,"The Taliban captured the provincial capital of Nimruz Province, Zaranj, making it the first major capture of a provincial city by the group since the 2001 invasion. This is significant as it shows that the Taliban continues to gain strength and is steadily growing in its control of Afghanistan. Additionally, it may be an attempt to forestall the creation of a second Northern Alliance once U.S. forces withdraw.

In a different development,"
294,"The Taliban has taken Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Meanwhile, brothers Travis and Greg McMichael have been sentenced to life without the possibility of parole, while William Bryan has been sentenced to life with the possibility of parole."
295,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces.

In a shocking verdict, three members of the"
296,"In a surprise move, the McDonald brothers, Travis and Greg McMichael, were sentenced to life without the possibility of parole while William Bryan was sentenced to life with the possibility of parole at their double murder trial today.

All three men were convicted of the murders of Eric and Sarah Swearingen, who were found dead in their home in 2018. The McDonald brothers and Bryan were arrested the day after the bodies were"
297,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj,"
