,document
211,"Before the crisis, 600,000 Australians were employed in the arts, an industry which added around A$3.2 billion to export revenues. The rate of employment in the sector grew at a faster rate than the rest of the economy. According to government figures, ""cultural and creative activity contributed to A$112 billion (6.4% of GDP) to Australia's economy in 2016–17"". One of the first casualties was the Melbourne International Comedy Festival, with organisers announcing on 13 March 2020 that the 2020 festival had been cancelled entirely. [ADD] <Preventive measures - National Plan to transition Australia's National COVID-19 Response> -- Australia reports its first cases of the Omicron variant in two people who travelled from Southern Africa and are currently in quarantine in a hotel in New South Wales. 
"
212,"In late August 2021 a man in his 50s who died at Dubbo Hospital, is believed to be the first Aboriginal or Torres Strait Islander COVID-19 related death. [ADD] <Impacts - Employment> -- Australia reports its first cases of the Omicron variant in two people who travelled from Southern Africa and are currently in quarantine in a hotel in New South Wales. 
"
213,"The NRL season recommenced on 28 May 2020 with a round 3 game played in Brisbane between the Brisbane Broncos and Parramatta Eels. The return match rated highly on TV as it was the first TV match of a team sport in Australia for 8 weeks. The Grand Final was played in front of a limited crowd on 25 October at ANZ Stadium. [ADD] <Impacts - Indigenous Australians> <Impacts - Indigenous Australians> -- Australia reports its first cases of the Omicron variant in two people who travelled from Southern Africa and are currently in quarantine in a hotel in New South Wales. 
"
214,"On November 30, 2021, a gunman opened fire on students at Oxford High School in the Detroit exurb of Oxford Township, Michigan, killing three students and injuring eight others, including one teacher. The suspected shooter is a 15-year-old sophomore student who is in custody. [RM] <Summary> -- Four students are killed and seven others injured in a mass shooting at a high school in Oxford, Michigan, United States. 
"
215,"According to the parent of a student who stayed home on November 30, threats of a mass shooting occurring at Oxford High School were already present before the incident occurred. [RM] Earlier that month, in an act of vandalism, a deer head had been thrown off the school roof, prompting school administrators to notify parents that they had been investigating rumors of a threat against the school but found none. Some students were evacuated to a nearby Meijer store. <Shooting> -- Four students are killed and seven others injured in a mass shooting at a high school in Oxford, Michigan, United States. 
"
216,"Booster shots were rolled for frontline healthcare workers on November 16, 2021. Similarly, the IATF has approved the administration of booster shots for Overseas Filipino Workers who are set for deployment within four months provided their second dosage was taken six months prior. Senior citizens and immunocompromised persons were rolled out on November 22, 2021. These groups can choose their preferred vaccine brand in comparison to their primary series. [ADD] <Background and timeline - Booster shots> -- The Philippine Department of Health announces that all adults over the age of 18 years can receive a booster dose at least six months after receiving their second dose or a least three months after receiving their single dose. 
"
217,"On December 5, volcanic ash fell in the Pronojiwo District of Lumajang, forcing many evacuees, residents and aid officials to flee. It was reported that a smaller eruption had occurred. The small eruption caused panic at nearby villages. Some 28 schools in two districts; six in Candipuro and 22 in Pronojiwo were heavily damaged by ashfall. [ADD] At least 11 villages in Lumajang were submerged in ash reaching up the roofs of homes. [ADD] Many vehicles were also submerged. [ADD] Kampung Renteng, a village in the Candipuro District, heavily affected by ash. [ADD] At another village, ash had destroyed every home. Four burn victims were taken to the intensive care unit for their serious injuries. A total of 38 people were treated at the Penanggal Health Center. Another 10 miners at a sand mine in Renteng Village were trapped and an initial attempt to rescue the miners was unsuccessful. A subsequent report indicated differently. According to the Indonesian National Board for Disaster Management (BNPB), ten miners thought to be missing at a sand mine in Lumajang were rescued. However, some number of sand miners are still unaccounted for. <Impact - Casualties> -- One person is killed and 41 others are injured as the Semeru volcano erupts in East Java, Indonesia. 
"
218,"On 7 December, the Government of Nagaland announced that it would suspend all activities at Hornbill Festival and seek for the repeal of the Armed Forces Special Powers Act. [RM] [ADD] 6 December, the Nagaland Police had registered a First information report against the 21 Para Special Forces, bringing charges of first degree murder. [RM] Instead, the army unit killed the coal mine workers in the similarly described vehicle. [RM] The army had received an input regarding the movement of the cadre of National Socialist Council of Nagaland (Khaplang-Yung Aung) (NSCN (K-YA)). <Investigation> -- Indian soldiers of the Assam Rifles mistakenly open fire on a group of miners returning home from work in Nagaland, believing them to be militants. Thirteen miners and a soldier are killed, with the soldier and seven miners being killed in a subsequent confrontation with angry locals. 
"
219,"The Special Investigation Team (SIT) was formed and tasked to complete the investigation in a month. [ADD] A Special Investigation Team (SIT) was tasked to complete the investigation in a month. [RM] According to The Hindu, the killings were the result of an intelligence failure. <Investigation> -- Indian soldiers of the Assam Rifles mistakenly open fire on a group of miners returning home from work in Nagaland, believing them to be militants. Thirteen miners and a soldier are killed, with the soldier and seven miners being killed in a subsequent confrontation with angry locals. 
"
220,"The Nagaland Police registered a case against the 21 Para Special Forces. [RM] <Investigation> -- Indian soldiers of the Assam Rifles mistakenly open fire on a group of miners returning home from work in Nagaland, believing them to be militants. Thirteen miners and a soldier are killed, with the soldier and seven miners being killed in a subsequent confrontation with angry locals. 
"
221,"[RM] Germany, <Timeline - November 2021> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
222,"nan -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
223,"and the United States. [RM] <Preparations and response - Testing> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
224,"On 28 November 2021, President Cyril Ramaphosa addressed the nation. He stated that there would be no immediate change in the country's coronavirus alert level because of the recently discovered Omicron variant. He also asked countries that had imposed travel bans on South Africa and its Sister countries to reverse their decision. [RM] <Preparations and response - State of disaster> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
225,"After [ADD] He also asked countries that had imposed travel bans on South Africa and its Sister countries to reverse their decision. <Preparations and response - Clinical trials, vaccines and treatment> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
226,"On 8 December, the National Institute for Communicable Diseases (NICD) reported nearly 20,000 new COVID-19 cases - a record since the Omicron variant was detected. the World Health Organization (WHO) declared COVID-19 a Public Health Emergency of International Concern on 30 January 2020, an emergency operation centre was immediately activated. [ADD] <Preparations and response - State of disaster> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
227,"On [ADD] 12 December, President Ramaphosa tested positive for COVID-19. <Preparations and response - State of disaster> -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
228,"nan -- President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. 
"
229,"In April 2019, Israel announced that it has been invited to take part at Dubai's Expo 2020 innovation fair. [ADD] December 13, 2021, Israeli Prime Minister Naftali Bennett visited the UAE and met with Mohamed bin Zayed Al Nahyan, the Crown Prince of Abu Dhabi. [ADD] This marked the first time leaders from both countries met with each other. [ADD] The meeting which included a shared lunch went two hours than originally expected. [ADD] Bennet stated that the meeting was about ""the region, our economy and technology."" -- Israeli Prime Minister Naftali Bennett and Sheikh Mohamed bin Zayed Al Nahyan of the United Arab Emirates discuss strengthening bilateral trade and cooperation in multiple areas, at the first meeting of the leaders of the two countries. 
"
230,"nan -- Israeli Prime Minister Naftali Bennett and Sheikh Mohamed bin Zayed Al Nahyan of the United Arab Emirates discuss strengthening bilateral trade and cooperation in multiple areas, at the first meeting of the leaders of the two countries. 
"
231,"The first COVID-19 vaccine was approved and began being deployed across the UK in early December, 15 million vaccine doses had been given to predominantly those most vulnerable to the virus by mid-February. 6 months later more than 75% of adults in the UK were fully vaccinated against COVID-19. Quarantine rules for incoming travellers were introduced in late January. Restrictions began to ease from late February onwards and almost all had ended in Great Britain by August. A third wave of daily infections began in July 2021 due to the arrival and rapid spread of the highly transmissible SARS-CoV-2 Delta variant. However, mass vaccination continued to keep deaths and hospitalisations at much lower levels than in previous waves. Infection rates remained high and hospitalisations and deaths rose into the autumn. [RM] The SARS-CoV-2 Omicron variant was confirmed to have arrived and begun spreading in the community in early December, driving a further increase in cases. [ADD] The SARS-CoV-2 Omicron variant was confirmed to have arrived and begun spreading in the community in early December, driving a further increase in cases that surpassed previous records. <History> -- The United Kingdom reports a record 78,610 new cases of COVID-19 in the past 24 hours. 
"
232,"nan -- The United Kingdom reports a record 78,610 new cases of COVID-19 in the past 24 hours. 
"
233,"On November 24, Israel struck a site in Homs in central Syria, killing two civilians and injuring a civilian and six soldiers. <Timeline - December> [ADD] December 6, according to Syrian media an Israeli strike targeted a container yard at the Latakia\u200b port. -- Israeli warplanes launch overnight airstrikes in southern Syria, with missiles originating from the Golan Heights, killing a soldier and causing some material damage, according to a Syrian military official. Syrian air defences engaged the Israeli missiles, with most missiles reportedly intercepted. 
"
234,"Surigao City was deprived of electricity and communications due to downed power lines while scores of trees left many roads impassable. Many buildings in the area were also devastated and the overall impact of Rai in the area were described as ""widespread"". Clean water supply became a problem in the city while almost all coastal houses were destroyed by the typhoon's storm surge. Authorities are verifying a possible second death due to Rai in the city and a third elsewhere in southern Mindanao. The mayor of Surigao City, Ernesto Matugas also estimated that 100% of the area was devastated due to Odette, also appealing for aid to the government. Aid was also requested by the province of Bohol, where a chief of the area's Provincial Disaster Risk Reduction and Management Office (PDRRMO) described Rai as the ""one of the worst ever for the province"". Many areas in the island were severely inundated, including Loboc, among the worst hit. The whole province also lost power services. The governor of the province, Arthur Yap estimated the damages at ₱5 billion (USD$100 million). A terminal in Siargao Airport was also totally destroyed; the overall island was also wrecked according to the first district representative of Surigao del Norte, Francisco Jose Matugas II. Southern Surigao confirmed a death, while two people lost their lives in Bukidnon. Three individuals were killed due to various reasons across Negros Occidental. Numerous houses there were also destroyed by felled trees, with a triage of the Ignacio Locsin Arroyo Memorial District Hospital being wrecked. Some areas in Kabankalan were also inundated due to a river overflowing there. A gas station elsewhere sustained roof damages. The Philippine National Police (PNP) also listed two people to be unaccounted for from Western Visayas. [ADD] A gas station elsewhere sustained roof damages. <Meteorological history - Watches and warnings> -- Twelve people are killed as Typhoon Rai impacts the Philippines, causing severe damage. 
"
235,"Over 30 power lines were downed around the Visayas and Mindanao reigon. Ricardo Jalad, the executive director of the national disaster agency, said in a breifing that ""Siargao island is heavily damaged"". [ADD] Officals said that homes were ""destroyed"", and that the typhoon caused an ""explosion of debris from fallen trees and falling buildings"". [ADD] At least 332,000 people were evacuated from their homes. [ADD] The storm affected areas that were still rebuilding from storms late last year. [ADD] Nearly every building in the province sustained heaviy damage, including the provincial disaster office. -- Twelve people are killed as Typhoon Rai impacts the Philippines, causing severe damage. 
"
236,"A by-election for the House of Commons constituency of North Shropshire, in the West Midlands, was held on 16 December 2021. It was triggered by the resignation of the Conservative Member of Parliament (MP) Owen Paterson on 4 November 2021. In a massive upset, the Liberal Democrats candidate Helen Morgan won the election with a 34.1% swing. [RM] The swing was the 7th largest in United Kingdom by-election history. <Summary> -- Helen Morgan of the Liberal Democrats wins North Shropshire, a seat in the British House of Commons which the Conservative Party has held since the constituency's creation. 
"
237,"North [ADD] The swing was the 7th largest in United Kingdom by-election history, and the constituency had been held by the Conservatives for nearly 200 years. Shropshire is the third-largest constituency by area in the West Midlands region. It contains five small towns: Wem, Whitchurch, Ellesmere, Oswestry and Market Drayton. Sixty per cent of constituents who turned out voted to leave the European Union in the 2016 EU referendum. <Background - Constituency> -- Helen Morgan of the Liberal Democrats wins North Shropshire, a seat in the British House of Commons which the Conservative Party has held since the constituency's creation. 
"
238,"nan -- Helen Morgan of the Liberal Democrats wins North Shropshire, a seat in the British House of Commons which the Conservative Party has held since the constituency's creation. 
"
239,"On 21 June, the Health Ministry reported 111 deaths in the last 24 hours, being the first time Colombia recorded 100 daily deaths since the start of the pandemic. By that day, over half of the municipalities in the country (575 out of 1,122) had reported cases of COVID-19 compared to only 196 in April, meaning that each day six new municipalities were reporting positive cases. Five municipalities concentrated 65.2% of all positive cases: Bogotá, Barranquilla, Cartagena, Cali, and Soledad in the Atlántico Department, while that department as well as San Andrés had reported cases in all of their municipalities. On the other hand, 129 municipalities were already without active cases, those having either recovered or died. During the previous week, the pandemic had accelerated with the country reporting 10,000 cases in just four days, having taken two months to report that same amount at the start of the pandemic. Moreover, the case fatality rate per million inhabitants increased fourfold from 8 May, going from 9 to 39. President Iván Duque announced a sixth extension of the nationwide lockdown until 15 July, with the same restrictions and exceptions that were in place up to that moment. The reopening of economic sectors would still be subject to the discretion of local authorities, while pilot programs to test the reopening of additional sectors such as restaurants and places of religious worship were announced to be held in municipalities with low numbers of coronavirus infections. [RM] <Timeline - December> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
240,"On 1 July the Ministry of Health reported 4,163 new cases out of 18,054 processed samples, with which Colombia exceeded the figure of 100,000 positive cases for COVID-19, reaching a total of 102,009. [ADD] <Timeline - January> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
241,"On 12 August the authorities of Caquetá Department and its capital Florencia made a decision to put the entire department under lockdown for 10 days starting on 15 August and ending on 25 August due to the exponential growth of COVID-19 cases, which saw the number of total cases in the department go up from 300 to 2,794 in the three most recent weeks. After an analysis by the Caquetá branch of the Colombian Medical College, a strict quarantine was seen as a possible efficient measure to lower both the contagion curve as well as the pressure on the medical services of the department, with ICU occupation surpassing 90% and delays of up to 10 days in the delivery of test results. While Puente Aranda, Chapinero, Santa Fe, and Antonio Nariño had already experienced the sectorized lockdown model, those zones were once again quarantined since the aforementioned factors had not been lowered. This announcement was met with mixed reactions: while citizens from some of the localities to go under lockdown praised the decision, other citizens, as well as traders and entrepreneurs voiced their disagreement and staged protests against the measure. [RM] <Timeline - February> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
242,"On 20 August, an outbreak at a nursing home in Manizales was discovered with 74 elderly people testing positive for COVID-19 following an index case detected on 17 August, with the ensuing epidemiological fence and quick tests also confirming 11 residents testing negative, 12 positive cases among the place's workers, and nine others pending a result. [ADD] <Impact - Economy and employment> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
243,"On One of the infected adults had to be taken to an intensive care unit while others had to be isolated in hotels at the city. [RM] <Impact> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
244,"On 24 August, According to the Colombian government, this decision was reached since most of the country's main cities were experiencing a plateau in their contagion curves and some others had already started a downwards trend in their numbers of new cases and deaths, which would allow to accelerate the economic reactivation of the country. [ADD] One of the infected adults had to be taken to an intensive care unit while others had to be isolated in hotels at the city. <Impact - Economy and employment> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
245,"On [RM] President Iván Duque announced that the lockdown that was in force in the country since March would end on 1 September, and starting from that day and for at least one month, the country would enter into a new stage named ""selective isolation"", aimed at isolating only specific cases of people infected or suspected to be infected with the virus and their inner circle while also lifting most restrictions on mobility for the remainder of the population. Concerts, sporting events, and others that can cause massive crowds of people would remain forbidden, as well as the consumption of alcohol in public places, while local rulers would be able to retain the power to maintain some control measures, mainly in the cities with the greatest impact. [ADD] 24 August, President Iván Duque announced that the lockdown that was in force in the country since March would end on 1 September, and starting from that day and for at least one month, the country would enter into a new stage named ""selective isolation"", aimed at isolating only specific cases of people infected or suspected to be infected with the virus and their inner circle while also lifting most restrictions on mobility for the remainder of the population. However, President Duque pointed out that the health emergency which was also in place in the country would be extended until 30 November. <Impact - Economy and employment> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
246,"That same day, Health Minister Fernando Ruiz confirmed the participation of Colombian volunteers in the Phase III trials of the Ad26.COV2.S vaccine, developed by Janssen Pharmaceuticals. The clinical trials were scheduled to take place in September 2020, once the report on the previous stages of the vaccine was available. In this announcement, Ruiz added that a confidentiality agreement to allow the country access to the vaccine had already been signed. It remained unclear whether outdoor amusement parks would be legally permitted. The Colombian Association of Attractions and Amusement Parks (Acolap), which has six open-air parks in Bogotá, planned to reopen. The passenger started showing symptoms in the evening of the same day of the trip, and was admitted to a hospital three days later as his condition worsened, testing positive and passing away shortly afterwards. Daily deaths also dropped, going down to 203 that day and going back to levels reached one or two months prior. According to Ruiz, the pandemic had developed in the country in a similar way to that of the rest of the world, and identified four moments according to the degree of affectation of the different cities of the country. [ADD] <Impact - Air travel> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
247,"On 24 October the country reached 1 million confirmed coronavirus cases, becoming the second country in Latin America to report that number in less than a week, after Argentina, as well as the eighth country in the world to have reached that number. On that day, 8,769 new cases, 198 new deaths, and 5,727 new recoveries were reported for a total of 1,007,711 confirmed cases, 30,000 deaths and 907,379 recoveries. 28 October, President Iván Duque announced the extension of the selective isolation stage until 30 November, with the same permissions and restrictions being kept in place through November. [ADD] <Impact - Restaurants and retail> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
248,"On 28 November, the National Health Institute (INS) released the preliminary findings of its seroprevalence study aimed at determining a more accurate estimate on the percentage of Colombian population that had already had contact with the novel coronavirus, with or without symptoms. The study was being performed in 10 cities through strategies such as mass, random sampling and blood test analysis on over 20,000 people, with the first findings revealing that nearly 60% of screened people in Leticia (59%) and Barranquilla (57%) had developed coronavirus antibodies, which could indicate they could have already been infected, while in Medellín antibodies were found in nearly one in three people (27%). While those results showed that the country has taken steps heading to a potential herd immunity given that the seroprevalence findings were higher than in other countries, it was also evident that the proportion of the population still susceptible to infection was still high and the containment strategies of the virus were not the best. 2 December, former senator Juan José García Romero died of COVID-19 at age 76. [RM] <Impact - Restaurants and retail> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
249,"On According to the schedule presented by the government, mass vaccination would begin in February and would be divided into five stages. [ADD] While those results showed that the country has taken steps heading to a potential herd immunity given that the seroprevalence findings were higher than in other countries, it was also evident that the proportion of the population still susceptible to infection was still high and the containment strategies of the virus were not the best. <Impact - Public order> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
250,"On The first stage will cover all front-line health and support workers, as well as people aged over 80, who are considered the segment of the population at the highest risk. The second stage will cover health workers in the second and third lines of attention, as well as people aged 60 to 79, while the third stage will cover inhabitants aged 16 to 60 with comorbidities as well as the entirety of elementary and high school teachers, to ensure the return of students to face-to-face classes. [ADD] <Impact - Public order> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
251,"[RM] While there had been 5,539 intensive care beds in Colombia at the beginning of 2019, by the beginning of 2021 hospitals had increased this to 11,905 beds specifically to address the expected needs of COVID-19 patients. [ADD] <Government responses> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
252,"On 20 January, a spokesperson for OPS said that Colombia was in the first group of eligible countries for vaccine distribution through the COVAX strategy as it met the criteria for inclusion due to its preparation and readiness, with distribution likely starting from the first week of February. [ADD] <Government responses> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
253,"On 28 January, Colombia's response to the pandemic was described as the third worst out of a group of 98 countries according to the Lowy Institute, an independent think tank in Australia, only ahead of Brazil and Mexico. Duque also confirmed the purchase of 10 million doses of the Moderna vaccine and 2.5 million doses of the vaccine by Sinovac, which added to 10 million doses from Pfizer–BioNTech, 10 million doses from Oxford–AstraZeneca, 9 million doses from Janssen, and 10 million doses through COVAX would be able to cover the 34 million Colombians eligible for vaccination. 30 January, the National Institute of Health confirmed the detection of the new P.1 variant of SARS-CoV-2 (later to be known under the name ""Gamma"") which had already been identified in Brazil, in a 24-year-old patient from Tabatinga, Amazonas state of Brazil who crossed the border to seek medical care in Leticia. As a preventive measure to avoid the spread of that new strain into the country, starting from 29 January passenger flights to and from Leticia were suspended for 15 days while flights between Colombia and Brazil were suspended for 30 days. An older adult in Bogotá had already died of COVID-19 caused by P.1 on 28 January, though this was not reported until weeks later. [RM] <Government responses - Vaccination> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
254,"On 11 February, Bogotá's District government announced that the temporary policy initiative of ""cielo abierto"" (open-air operating businesses) would be made permanent. [ADD] <Government responses - Vaccination> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
255,"Two hundred international tourists were trapped in Leticia after the highly-contagious Brazilian variant of COVID-19 virus was discovered in the city on 30 January. [ADD] <Charitable funds> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
256,"On 25 February, President Iván Duque announced on his daily broadcast a further extension of the state of health emergency for three months until 31 May 2021. The health emergency was slated to expire on 28 February. [RM] <Prisons - Outbreaks> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
257,"During the first two weeks of the vaccination program, 191,480 first doses were administered. [ADD] That same day, Minister Ruiz confirmed that an intensive care nurse from Sincelejo's University Hospital and another nurse from the National Cancerology Institute in Bogotá would be the first two people to be vaccinated in the country, on 17 February. <Prisons - Outbreaks> Public health expert Luis Jorge Hernández said the distribution was operating under a scarcity mentality given that only 509,724 doses had arrived in Colombia (including the ones already administered), whereas the Health Ministry had expected to have 850,000 by that point. Duque announced that new curfews would be implemented beginning 26 March. Areas where ICU occupancy was over 50% would have a midnight curfew, and, where the ICU occupancy was over 70%, the curfew would begin two hours earlier. The government was most concerned about the regions of Magdalena, Antioquia, Valle del Cauca, and Atlántico, all of which had occupancy rates of 70–79%. For all cases, curfews will end at 5:00 a.m. the following day. The government also suggested the implementation of the pico y cédula measure to restrict individual mobility, with hotels, restaurants, and parks being exempted from the measure. Medellín and Barranquilla, which had ICU occupancy around 90%, additionally planned to implement prohibition. Police in Cali broke up dozens of parties on 10 April, one of which was attended by over 200 people. [RM] <Prisons - Riots> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
258,"Bogotá's mayor announced on 13 April that, since the city's ICU occupancy had risen to 75%, quarantine rules would be stricter than originally planned through 19 April and would also be in effect during the weekend of 23–26 April. [RM] <Prisons - Prisoner release> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
259,"On [ADD] <Prisons - Prisoner release> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
260,"With nearly 15,000 confirmed deaths and over 500,000 new COVID-19 cases, May 2021 became the deadliest month of the pandemic in Colombia as the third wave that came from the Holy Week holidays in April was considered to have reached a plateau and extended into May with a daily average of 20,000 new cases and 500 deaths during that month. [RM] According to ACEM, emergency rooms were also under heavy pressure, with occupancy over 160%. <Notable deaths> [ADD] <Notable deaths> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
261,"On the morning of 24 July President Iván Duque confirmed the detection of the Delta variant of SARS-CoV-2, in a patient in the city of Cali who had travelled to the United States and presented symptoms after returning to the country. The patient was confirmed positive for COVID-19 following a PCR test and was reported to be in isolation and in good health condition. [ADD] <Statistics - Charts> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled from Spain. 
"
262,"By 29 October new locally acquired cases of COVID-19 were 268, down by 25 on the previous day. Total new cases reported during the state's Delta outbreak were 69,008. The total number of confirmed cases in NSW reached 74,698. 1 new case was acquired overseas. 0 from interstate. • Of the new cases: 41 (-10) were from South Western Sydney LHD, 11 (-3) South East Sydney LHD, 21 (-5) Western Sydney LHD, 29 (+7) Sydney LHD, 3 (-6) Northern Sydney LHD, 12 (+1) Nepean Blue Mountains LHD, 54 (-25) Hunter New England LHD, 1 (-5) Western NSW LHD, 3 (+2) Far West LHD, 8 (-4) Illawarra-Shoalhaven LHD, 4 (+1) Central Coast LHD, 13 (-5) Mid North Coast LHD, 7 (+2) Southern NSW LHD, 1 (-8) Northern NSW LHD, and 52 (+22) Murrumbidgee LHD. 0 were in a ""correctional setting"". 8 were not yet assigned to any LHD. • There were 363 (-18) COVID-19 cases in hospital, 82 (-15) in intensive care, 32 (-6) requiring ventilation. • COVID-19 tests were 82,840 to 8pm for that day bringing the state total to 19,570,203 tests. • There had been 4,030,008 total vaccine doses administered by NSW Health, plus another 8,178,712 doses administered by the GP network and other providers, for a state total to this date of 12,208,720 vaccinations. They were not vaccinated. [RM] The death was: <Statistics> -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. 
"
263,"By 30 October new locally acquired cases of COVID-19 were 236, down by 32 on the previous day. Total new cases reported during the state's Delta outbreak were 69,232. [ADD] The death was: <Timeline - December> [RM] -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. 
"
264,"nan -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. 
"
265,"nan -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. 
"
266,"On [RM] [ADD] <Event cancellations> -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. 
"
267,"On December 10, the Omicron variant was detected in two interstate travellers that came to South Australia. As a result, there were changes to the rules; travellers coming to SA from New South Wales and Victoria were now required to be tested on day 6 as well as on arrival. Several high-risk exposure sites were listed, where anyone who entered had to quarantine for 14 days. These restrictions were eased on December 14 and 15 respectively. [ADD] <Timeline - Omicron Variant> -- South Australia reports a record 744 new cases of COVID-19 in the past 24 hours, thereby bringing the statewide total of confirmed cases to 4,324. 
"
268,"On [ADD] December 26, after a week of exponentially rising case numbers, with over 80 percent believed to be caused by the Omicron variant, the government introduced new restrictions. [ADD] These included home gathering caps reduced from 30 to 10 people, and hospitality venues would have to reduce capacity to 25% indoors and 50% outdoors. [ADD] Citizens were asked to reduce travel around the state, as health authorities were concerned about the variants ability to overwhelm the health system. -- South Australia reports a record 744 new cases of COVID-19 in the past 24 hours, thereby bringing the statewide total of confirmed cases to 4,324. 
"
269,"nan -- South Australia reports a record 744 new cases of COVID-19 in the past 24 hours, thereby bringing the statewide total of confirmed cases to 4,324. 
"
270,"Total rainfall at the state capital Salvador during December has exceeded 250 millimetres (9.8 inches) on 24 December, five times the historic average. On 26 December, the Bahia state government and Brazilian federal government, along with cooperation from other state governments, have mounted a joint rescue operation to victims at the affected areas. Two dams have collapsed between 25 and 26 December, at Jussiape and Itambe respectively. [ADD] The town of Vitória da -- Flooding in the Bahia state of Northeast Brazil kills 18 people. 
"
271,"On December 6, according to Syrian media an Israeli strike targeted a container yard at the Latakia\u200b port. A number of shipping containers caught on fire, but no casualties were reported. [ADD] <Timeline - December> -- Syrian state media reports that Israel has bombed the Port of Latakia. If this is confirmed by the IDF, it would be the second airstrike on the facility this month. Secondary explosions are believed to be from Iranian munitions stored at the facility. 
"
272,"On 2 January 2022, two more protesters were killed - one in Khartoum and one in Omdurman. The Central Committee of Sudanese Doctors (CCSD) said the death toll amongst protesters since the 25 October 2021 coup, was 56. [ADD] It later went up to 57. [ADD] Amid those protests, Abdalla Hamdok announced his resignation as Prime Minister. -- Interim Prime Minister Abdalla Hamdok resigns in response to security forces killing three anti-coup protestors in Omdurman earlier that day. 
"
273,"June 2017: The Daily Telegraph reported that intelligence officials concluded that Iran was responsible for a cyberattack on the British Parliament lasting 12 hours that compromised around 90 email accounts of MPs. The motive for the attack is unknown but experts suggested that the Islamic Revolutionary Guard Corps could be using cyberwarfare to undermine the Iran nuclear deal. [ADD] The website's content was replaced with a threat to target the Shimon Peres Negev Nuclear Research Center, and an apparent reference to Qasem Soleimani who was assassinated exactly two years earlier in Baghdad, Iraq. <Suspended Iranian accounts> -- The website of Israel's Jerusalem Post newspaper is hacked by suspected Iranian hackers. The website's content was replaced with a threat targeting the Shimon Peres Negev Nuclear Research Center and an apparent reference to Qasem Soleimani, who was assassinated exactly two years earlier in Baghdad, Iraq. 
"
