,paragraph
180,"[{'summary_text': 'Incumbent Democratic Governor Phil Murphy, who was first elected in 2017 with 56% of the vote, ran for re-election to a second term on October 1, 2020. Primaries were held on June 8, 2021. Murphy won the Democratic nomination unopposed, after his two primary challengers were disqualified, faced Republican nominee Jack Ciattarelli, Green nominee Madelyn Hoffman, Libertarian nominee Gregg Mele, and SWP nominee Joanne Kuniansky in the general election.'}]"
181,"[{'summary_text': 'Phil Murphy is the first Democrat to be re-elected since Brendan Byrne in 1977. Phil Murphy, incumbent governor (2018–present)    New Jersey Governor Phil Murphy defeats Republican former state legislator Jack Ciattarelli, making him the first Democrats to win re-election in New Jersey since 1977.'}]"
182,"[{'summary_text': 'Phil Murphy defeats Republican former state legislator Jack Ciattarelli, making him the first Democrat to be re-elected since Brendan Byrne in 1977. Incumbent New Jersey Governor Phil Murphy defeated Republican former New Jersey state legislator and former state senator Jack Ciatarelli. Murphy is the first Democratic governor to win re-election since the 1970s.'}]"
183,"[{'summary_text': 'At least 99 people are killed and more than 100 injured by a fuel truck colliding with a truck causing an explosion in Freetown, Sierra Leone. Reports state that a bus full of people were ""completely"" burnt and nearby shops and markets caught on fire after fuel spilled over the streets.'}]"
184,"[{'summary_text': ""At least 99 people are killed and more than 100 injured by a fuel truck colliding with a truck causing an explosion in Freetown, Sierra Leone. President Julius Maada Bio, who was attending the United Nations climate talks, offered condolences and promised support to the victims\\' families. Vice President Mohamed Juldeh J""}]"
185,"[{'summary_text': 'On the first night of the Astroworld Festival, the appearance of Scott on the stage led people to push towards the stage en masse, leading to a crush. According to Houston Fire Chief Sam Peña, between 9:00 p.m. and 9:15 p. m., the crowd began ""to compress toward the front of the stage"". As people began to fall and get injured, additional panic ensued. The show\'s paramedics were seen performing CPR'}]"
186,"[{'summary_text': 'At 9:38 p.m., officials declared a ""mass causality event"" and 17 people were transferred to hospitals. Peña stated that medical personnel was ""quickly overwhelmed"" as the amount of injuries surged. Scott, along with stage crew, paused during his 75-minute performance when he noticed attendees in distress near the stage. Two members of Scott\'s staff approached him on stage, though he shooed them away and resumed his performance.'}]"
187,"[{'summary_text': 'Emirati Foreign Minister Abdullah bin Zayed Al Nahyan meets with Syrian President Bashar al-Assad, for the first time since the outbreak of the Syrian Civil War ten years ago, to discuss ""ways to develop cooperation in different sectors that are of common interest"".'}]"
188,"[{'summary_text': ""The death toll from the fuel tanker explosion in Freetown, Sierra Leone, which occurred four days ago, increases to 115. President Julius Maada Bio, who was attending the United Nations climate talks, offered condolences and promised support to the victims\\' families. Vice President Mohamed Juldeh Jalloh visited two hospitals. The journalist Omar Fofana reported that the hospital services have been stretched.""}]"
189,"[{'summary_text': ""The perceived success of Israel's vaccination programme has been credited to the centralized systems its health maintenance organizations maintained, especially with regard to managing the personal health data of Israelis. They were able to coordinate national vaccination drives, contacting residents directly using a database of contact information such as phone numbers and emails. Every Israeli citizen must register with one of the country's four HMOs.""}]"
190,"[{'summary_text': ""On 10 November 2021, the Israeli Government approved the use of COVID-19 vaccine shots for children between the ages of 5 and 11 years. Israeli epidemiologists and health authorities have identified vaccine hesitancy among parents as an obstacle to getting children vaccinated. The country expanded the availability to all Israelis over the age of 12, after five months since their second shot. On 29 August 2021, Israel's coronavirus czar announced that Israelis who had not received a booster shot within six months of their second dose would lose access to the country's green pass vaccine passport.""}]"
191,"[{'summary_text': ""Israel's pandemic advisory board approves the usage of the Pfizer-BioNTech COVID-19 vaccine for children between the ages of 5 and 11 years old.  Participation in demonstrations only within 1 km from home. [RM] <Relations with neighbouring countries and territories - Syria>""}]"
192,"[{'summary_text': 'On 13 October the lockdown was extended for an additional week, until midnight 18 October 2020. Hazor Haglilit (starting on 8 November), Qalansawe and Iksal ( starting on 17 November 2020), Nazareth and Isfiya (start on 21 November).'}]"
193,"[{'summary_text': ""On 13 October the lockdown was extended for an additional week, until midnight 18 October 2020. On 13 October    Israel's pandemic advisory board approves the usage of the Pfizer-BioNTech COVID-19 vaccine for children between the ages of 5 and 11 years old.""}]"
194,"[{'summary_text': ""Police said he had links to both areas of Liverpool that had been raided. Early reports suggested that on arrival he locked the doors of his vehicle on his passenger before it went up in flames. Counterterrorism spokesman noted that officers had not yet spoken to Perry as of Sunday evening. The bomber's motivation for the attack was not immediately known, however, one theory emerged that he was intending to walk to the cathedral and detonate his device as the congregation left.""}]"
195,"[{'summary_text': 'US President Joe Biden holds a virtual bilateral meeting with China\'s leader Xi Jinping.    ""Virtual bilateral"" meeting is a virtual meeting between the leaders of China and the U.S. Vice President Xi Jinping is the first time the two leaders have met in person since Xi took office.'}]"
196,[{'summary_text': 'Tongans go to the polls to elect their new government. Tongans will vote for a new government at the end of the month. Tongan President Tonga is expected to be re-elected to a second term in office. Tonga has been at the center of a series of political scandals in recent years.'}]
197,"[{'summary_text': 'The Tigray War (Tigrinya: ትግራይ) is an ongoing civil war that began on 3 November 2020 in the Tigray Region of Ethiopia. The local Tigray Defense Forces (TDF) are fighting the Ethiopian National Defense Force (ENDF), the Ethiopian Federal Police, regional police, and gendarmerie forces of the neighbouring Amhara and Afar regions with the involvement of the Eritrean Defence Forces (EDF). All sides, particularly the'}]"
198,"[{'summary_text': 'On 2 November 2021, as the counter-offensive came deeper into federal-controlled territory, the Ethiopian government declared a six-month state of emergency, which envisages the possibility to arrest and detain critics of the government without a court warrant, impose curfews, institute censorship, restrict freedom of movement as well as to call any adult person to fight in the war, for fear of serving from three to ten years in prison. Authorities in Addis Ababa also told residents to register their weapons in order to fend off the anticipated offensive. Four other regional governments also made a call to arms.'}]"
199,"[{'summary_text': 'On [ADD] 22 November, the President Abiy Ahmed announced that he will be leading the army from the battlefront. <Spillover - Spillover into Sudan> -- Ethiopian Prime Minister AbiyAhmed, a former soldier, announces that he would lead his country\'s army from ""the battlefront"" beginning tomorrow. '}]"
200,"[{'summary_text': 'Ethiopian Prime Minister Abiy Ahmed, a former soldier, announces that he will lead his country\'s army from the battlefront beginning tomorrow.    ""I will lead the Ethiopian army on the front line,"" Abiy says.  Abiy is the son of a former Ethiopian soldier.'}]"
201,"[{'summary_text': 'January 23, 2021: The Liberia-flagged container ship ""V/S Mozart"" is attacked by pirates in Gulf of Guinea. There were 19 crewmembers in the vessel, 1 killed, 15 kidnapped. The ship arrived to Port-Gentil at Gabon at 11:00 TRT with 3 remaining crewmembers.   The ship was sunk by the Royal Danish Navy frigate HDMS Esbern Snare.'}]"
202,"[{'summary_text': '18 November 2018 - A car bomb detonated in the city of Tikrit, killing 5 civilians and injuring 16 others. ISIL claimed responsibility for the attack. [RM] <Timeline - August> -- Five Peshmerga fighters are killed and four more are wounded during a shooting and bombing attack by the Islamic State in Diyala.'}]"
203,[{'summary_text': 'Five Peshmerga fighters are killed and four more are wounded during a shooting and bombing attack by the Islamic State in Diyala. 19 [SUB] <Timeline - January–July> -- Five Peshmerga troops were killed in a suicide car bomb attack in the city of Dabiq.'}]
204,"[{'summary_text': 'November 19, 2018 -- A bomb and shooting attack on a police patrol killed an officer and wounded 4 others in the area of the Khanaqin. No group claimed responsibility, but ISIL was most likely behind the blast. 19 [RM] November 2018 -- Five Peshmerga fighters are killed and four more are wounded during a shooting and bombing attack by the Islamic State in Diyala.'}]"
205,"[{'summary_text': 'August 5 - Iraqi Federal police arrested an ISIL member in the city of Mosul. August 5 - Five Peshmerga fighters are killed and four more are wounded during a shooting and bombing attack by the Islamic State in Diyala.    The Islamic State claimed responsibility for the attack, which killed five Peshmerga and wounded four more.'}]"
206,"[{'summary_text': 'On 8 November, the premier of Queensland announced that as of December 17, all eligible unvaccinated citizens over the age of 16 will be banned from pubs, clubs, cafes, restaurants, cinemas, theatres, music festivals and stadiums, government-owned galleries, museums and libraries, and they will not be allowed to visit hospitals, aged care facilities, prisons or disability services, among other restrictions. The premier described this as “a reward for the fully vaccinated and a precaution for when the borders open”, and stated that restrictions are expected to continue into 2022.'}]"
207,"[{'summary_text': ""The deadliest cluster in Australia was at St Basil's Homes for the Aged in Victoria, where 45 residents died. The following chart represents the daily new confirmed number of cases in the whole of Australia. It is based on reports by the Johns Hopkins Center for Health Security.""}]"
208,"[{'summary_text': 'Australia reports its first cases of the Omicron variant in two people who travelled from Southern Africa and are currently in quarantine in a hotel in New South Wales. On 1 February 2020, Australia banned the entry of foreign nationals who had been in mainland China, and ordered its own returning citizens who had'}]"
209,"[{'summary_text': 'The largest cluster in Australia from the start of the pandemic until 5 November 2021, when Australia reached its 80 percent vaccination target and entered the consolidation phase of its COVID-19 transition plan, was the Flemington/North Melbourne public housing cluster with 310 cases. The country also began to assess the relative risk of reflected transmission through third countries, and to ask travelers arriving from higher-risk countries to monitor for symptoms.'}]"
210,"[{'summary_text': 'The Australian government entered into agreements with Pfizer/BioNTech, University of Oxford/AstraZeneca, Novavax, the University of Queensland and COVAX for the supply of vaccines. The University of QLD vaccine was abandoned in December 2020 after trials revealed that, while it was safe, it triggered false positives on HIV tests. The Therapeutic Goods Administration (TGA) provisionally approved the Pfizer vaccine in January 2021. The Australian government ordered 10 million doses, with the first 80,000 to be delivered in February 2021, but production problems and the imposition of export controls by the European'}]"
211,"[{'summary_text': 'Before the crisis, 600,000 Australians were employed in the arts, an industry which added around A$3.2 billion to export revenues. The rate of employment in the sector grew at a faster rate than the rest of the economy. According to government figures, ""cultural and creative activity contributed to A$112 billion (6.4% of GDP) to Australia\'s economy in 2016–17"". One of the first casualties was the Melbourne International Comedy Festival, with organisers announcing on 13 March 2020 that the 2020 festival had been cancelled entirely.'}]"
212,"[{'summary_text': 'In late August 2021 a man in his 50s who died at Dubbo Hospital, is believed to be the first Aboriginal or Torres Strait Islander COVID-19 related death. [ADD] <Impacts - Employment> -- Australia reports its first cases of the Omicron variant in two people who travelled from Southern Africa and are currently in quarantine in a hotel in New South Wales.'}]"
213,[{'summary_text': 'The 2020 NRL season recommenced on 28 May 2020 with a round 3 game played in Brisbane between the Brisbane Broncos and Parramatta Eels. The return match rated highly on TV as it was the first TV match of a team sport in Australia for 8 weeks. The Grand Final was played in front of a limited crowd on 25 October at ANZ Stadium.'}]
214,"[{'summary_text': 'On November 30, 2021, a gunman opened fire on students at Oxford High School in the Detroit exurb of Oxford Township, Michigan, killing three students and injuring eight others, including one teacher. The suspected shooter is a 15-year-old sophomore student who is in custody.'}]"
215,"[{'summary_text': 'According to a parent of a student who stayed home on November 30, threats of a mass shooting occurring at Oxford High School were already present before the incident occurred. Earlier that month, in an act of vandalism, a deer head had been thrown off the school roof, prompting school administrators to notify parents that they had been investigating rumors of a threat against the school but found none. Some students were evacuated to a nearby Meijer store.'}]"
216,"[{'summary_text': ' Booster shots were rolled for frontline healthcare workers on November 16, 2021. Similarly, the IATF has approved the administration of booster shots for Overseas Filipino Workers who are set for deployment within four months provided their second dosage was taken six months prior. Senior citizens and immunocompromised persons were rolled out on November 22, 2021 and can choose their preferred vaccine brand in comparison to their primary series.'}]"
217,"[{'summary_text': 'On December 5, volcanic ash fell in the Pronojiwo District of Lumajang, forcing many evacuees, residents and aid officials to flee. It was reported that a smaller eruption had occurred. The small eruption caused panic at nearby villages. Some 28 schools in two districts; six in Candipuro and 22 in Pron'}]"
218,"[{'summary_text': 'On 7 December, the Government of Nagaland announced that it would suspend all activities at Hornbill Festival and seek for the repeal of the Armed Forces Special Powers Act. [RM] [ADD] 6 December,  the Nagal and Police had registered a First information report against the 21 Para Special Forces, bringing charges of first degree murder. Instead, the army unit killed the coal mine workers in the similarly described vehicle. The army had received an input regarding the movement of the cadre of National Socialist Council of Nag'}]"
219,"[{'summary_text': 'Indian soldiers mistakenly open fire on a group of miners returning home from work in Nagaland, believing them to be militants. Thirteen miners and a soldier are killed, with the soldier and seven miners being killed in a subsequent confrontation with angry locals. The Special Investigation Team (SIT) was formed and tasked to complete the investigation in a month.'}]"
220,"[{'summary_text': 'Indian soldiers of the Assam Rifles mistakenly open fire on a group of miners returning home from work in Nagaland, believing them to be militants. Thirteen miners and a soldier are killed, with the soldier and seven miners being killed in a subsequent confrontation with angry locals.'}]"
221,"[{'summary_text': 'President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms. [RM] Germany, <Timeline - November 2021> -- President CyrilRamaphosa testifies against the drug.    ""The President of South Africa"" testifies in support of the drug in Germany.'}]"
222,"[{'summary_text': 'President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms.    ""I have been diagnosed with a mild case of Co-Virus 19,"" he said.  ""It is a very mild case,"" he added. ""I don\'t have any other symptoms.""'}]"
223,"[{'summary_text': 'President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms.  South African President tested positive for the drug in South Africa and the U.S. and the United States.  President CyrilRamaphosa tested positive with ""mild"" symptoms.'}]"
224,"[{'summary_text': ""On 28 November 2021, President Cyril Ramaphosa addressed the nation. He stated that there would be no immediate change in the country's coronavirus alert level because of the recently discovered Omicron variant. He also asked countries that had imposed travel bans on South Africa and its Sister countries to reverse their decision.""}]"
225,"[{'summary_text': 'President Cyril Ramaphosa tested positive for COVID-19 with mild symptoms. After [ADD] He also asked countries that had imposed travel bans on South Africa and its Sister countries to reverse their decision. <Preparations and response - Clinical trials, vaccines and treatment>'}]"
226,"[{'summary_text': 'On 8 December, the National Institute for Communicable Diseases (NICD) reported nearly 20,000 new COVID-19 cases - a record since the Omicron variant was detected. the World Health Organization (WHO) declared CO VID-19 a Public Health Emergency of International Concern on 30 January 2020, an emergency operation centre was immediately activated. [ADD] <Preparations and response - State of disaster> -- President Cyril Ramaphosa tests positive for COVID'}]"
227,"[{'summary_text': 'On 12 December, President Ramaphosa tested positive for COVID-19. <Preparations and response - State of disaster> -- President Cyril RamAPHosa tests positive for ""COVID"" with ""mild symptoms""    ""Cyril"" is a term used to refer to the president of South Africa.'}]"
228,"[{'summary_text': 'President Cyril Ramaphosa tests positive for COVID-19 with mild symptoms.    ""I have been diagnosed with a mild case of Co-Virus 19,"" he said.  ""It is a very mild case,"" he added. ""I don\'t have any other symptoms.""'}]"
229,"[{'summary_text': 'In April 2019, Israel announced that it has been invited to take part at Dubai\'s Expo 2020 innovation fair. December 13, 2021, Israeli Prime Minister Naftali Bennett visited the UAE and met with Mohamed bin Zayed Al Nahyan, the Crown Prince of Abu Dhabi. This marked the first time leaders from both countries met with each other. The meeting which included a shared lunch went two hours than originally expected. Bennet stated that the meeting was about ""the region, our economy and technology.""'}]"
230,"[{'summary_text': 'Israeli Prime Minister Naftali Bennett and Sheikh Mohamed bin Zayed Al Nahyan of the United Arab Emirates discuss strengthening bilateral trade and cooperation in multiple areas, at the first meeting of the leaders of the two countries.    ""We will continue to work together to strengthen bilateral trade,"" Bennett said.'}]"
231,"[{'summary_text': 'The first COVID-19 vaccine was approved and began being deployed across the UK in early December, 15 million vaccine doses had been given to predominantly those most vulnerable to the virus by mid-February. 6 months later more than 75% of adults in the UK were fully vaccinated against COVID'}]"
232,"[{'summary_text': 'The United Kingdom reports a record 78,610 new cases of COVID-19 in the past 24 hours.    ""There were more than 80,000 new cases in the UK in the first 24 hours of the week,"" the UK\'s Department of Health said.'}]"
233,"[{'summary_text': 'On November 24, Israel struck a site in Homs in central Syria, killing two civilians and injuring a civilian and six soldiers. On December 6, according to Syrian media an Israeli strike targeted a container yard at the Latakia\\u200b port.  Israeli warplanes launch overnight airstrikes in southern Syria, with missiles originating from the Golan Heights, killing a soldier and causing some material damage. Syrian air defences engaged the Israeli missiles, with most missiles reportedly intercepted.'}]"
234,"[{'summary_text': 'Typhoon Rai was the deadliest typhoon to hit the Philippines since Typhoon Odette in 2008. The typhoon caused severe damage in the Philippines, killing at least 12 people and causing $100 million in damages. The city of Surigao City was deprived of electricity and communications due to downed power lines while scores of trees left many roads impassable. Many buildings in the area were also devastated and the overall impact of Rai in the'}]"
235,"[{'summary_text': 'Over 30 power lines were downed around the Visayas and Mindanao reigon. Ricardo Jalad, the executive director of the national disaster agency, said in a breifing that ""Siargao island is heavily damaged"". [ADD] Officals said that homes were ""destroyed"", and that the typhoon caused an ""explosion of debris from fallen trees and falling buildings"". At least 332,000 people were evacuated from their homes.'}]"
236,"[{'summary_text': 'A by-election for the House of Commons constituency of North Shropshire, in the West Midlands, was held on 16 December 2021. It was triggered by the resignation of the Conservative Member of Parliament (MP) Owen Paterson on 4 November 2021. In a massive upset, the Liberal Democrats candidate Helen Morgan won the election with a 34.1% swing. [RM] The swing was the 7th largest in United Kingdom'}]"
237,"[{'summary_text': 'Shropshire is the third-largest constituency by area in the West Midlands region. It contains five small towns: Wem, Whitchurch, Ellesmere, Oswestry and Market Drayton. Sixty per cent of constituents who turned out voted to leave the European Union in the 2016 EU referendum. The swing was the 7th largest in United Kingdom by-election history, and the constituency had been held by the Conservatives for nearly 200 years.'}]"
238,"[{'summary_text': ""Helen Morgan of the Liberal Democrats wins North Shropshire, a seat in the British House of Commons which the Conservative Party has held since the constituency's creation. The constituency has been held by the Conservatives since the seat was created in the 1990s.""}]"
239,"[{'summary_text': 'On 21 June, the Health Ministry reported 111 deaths in the last 24 hours, being the first time Colombia recorded 100 daily deaths since the start of the pandemic. By that day, over half of the municipalities in the country (575 out of 1,122) had reported cases of COVID-19 compared to only 196 in April, meaning that each day six new municipalities were reporting positive cases. Five municipalities concentrated 65.2% of all positive cases: Bogotá, Barranquilla, Cartagena, Cali, and Soledad'}]"
240,"[{'summary_text': 'On 1 July the Ministry of Health reported 4,163 new cases out of 18,054 processed samples, with which Colombia exceeded the figure of 100,000 positive cases for COVID-19, reaching a total of 102,009. [ADD] -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled to Colombia from Spain.'}]"
241,"[{'summary_text': 'On 12 August the authorities of Caquetá Department and its capital Florencia made a decision to put the entire department under lockdown for 10 days starting on 15 August and ending on 25 August due to the exponential growth of COVID-19 cases, which saw the number of total cases in the department go up from 300 to 2,794 in the three most recent weeks. After an analysis by the CaquETÁ branch of the Colombian Medical College, a strict quarantine was seen as a possible efficient measure to lower both the contagion curve as well as the pressure on the medical services of the department, with IC'}]"
242,"[{'summary_text': ""On 20 August, an outbreak at a nursing home in Manizales was discovered with 74 elderly people testing positive for COVID-19 following an index case detected on 17 August, with the ensuing epidemiological fence and quick tests also confirming 11 residents testing negative, 12 positive cases among the place's workers, and nine others pending a result. [ADD] <Impact - Economy and employment> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a""}]"
243,[{'summary_text': 'Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen from Spain. On One of the infected adults had to be taken to an intensive care unit while others were isolated in hotels at the city.'}]
244,"[{'summary_text': 'On 24 August, According to the Colombian government, this decision was reached since most of the country\'s main cities were experiencing a plateau in their contagion curves and some others had already started a downwards trend in their numbers of new cases and deaths, which would allow to ""accelerate the economic reactivation of"" the country. One of the infected adults had to be taken to an intensive care unit while others had to'}]"
245,"[{'summary_text': 'On [RM] President Iván Duque announced that the lockdown that was in force in the country since March would end on 1 September, and starting from that day and for at least one month, the country would enter into a new stage named ""selective isolation"", aimed at isolating only specific cases of people infected or suspected to be infected with the virus and their inner circle while also lifting most restrictions on mobility for the remainder of the population. Concerts, sporting events, and others that can cause massive crowds of people would remain forbidden, as well as'}]"
246,"[{'summary_text': 'Health Minister Fernando Ruiz confirmed the participation of Colombian volunteers in the Phase III trials of the Ad26.COV2.S vaccine, developed by Janssen Pharmaceuticals. The clinical trials were scheduled to take place in September 2020, once the report on the previous stages of the vaccine was available. In this announcement, Ruiz added that a confidentiality agreement to allow the country access to the vaccine had already been signed. It remained unclear whether outdoor amusement parks would be legally permitted. The Colombian Association of Attractions and Amusement Parks (Acolap), which has six open-air'}]"
247,"[{'summary_text': 'On 24 October the country reached 1 million confirmed coronavirus cases, becoming the second country in Latin America to report that number in less than a week, after Argentina, as well as the eighth country in the world to have reached that number. On that day, 8,769 new cases, 198 new deaths, and 5,727 new recoveries were reported for a total of 1,007,711 confirmed cases, 30,000 deaths and 907,379 recoveries. 28 October, President Iván Duque announced the extension of the selective isolation stage until 30 November, with the same'}]"
248,"[{'summary_text': 'On 28 November, the National Health Institute (INS) released the preliminary findings of its seroprevalence study aimed at determining a more accurate estimate on the percentage of Colombian population that had already had contact with the novel coronavirus, with or without symptoms. The study was being performed in 10 cities through strategies such as mass, random sampling and blood test analysis on over 20,000 people, with the first findings revealing that nearly 60% of screened people in Leticia (59%) and Barranquilla (57%) had developed coronav virus antibodies, which could indicate they could have already been infected, while in Medellín'}]"
249,"[{'summary_text': 'According to the schedule presented by the government, mass vaccination would begin in February and would be divided into five stages. While those results showed that the country has taken steps heading to a potential herd immunity given that the seroprevalence findings were higher than in other countries, it was also evident that the proportion of the population still susceptible to infection was still high and the containment strategies of the virus were not the best.'}]"
250,"[{'summary_text': 'On The first stage will cover all front-line health and support workers, as well as people aged over 80, who are considered the segment of the population at the highest risk. The second stage will covered health workers in the second and third lines of attention, and people aged 60 to 79, while the third'}]"
251,"[{'summary_text': 'Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled to Colombia from Spain. [RM] While there had been 5,539 intensive care beds in Colombia at the beginning of 2019, by the beginning'}]"
252,"[{'summary_text': 'On 20 January, Colombia was in the first group of eligible countries for vaccine distribution through the COVAX strategy as it met the criteria for inclusion due to its preparation and readiness, with distribution likely starting from the first week of February. Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travelled to Spain.'}]"
253,"[{'summary_text': ""On 28 January, Colombia's response to the pandemic was described as the third worst out of a group of 98 countries according to the Lowy Institute, an independent think tank in Australia, only ahead of Brazil and Mexico. Duque also confirmed the purchase of 10 million doses of the Moderna vaccine and 2.5 million doses""}]"
254,"[{'summary_text': 'On 11 February, Bogotá\'s District government announced that the temporary policy initiative of ""cielo abierto"" (open-air operating businesses) would be made permanent. [ADD] <Government responses - Vaccination> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travels from Spain.'}]"
255,[{'summary_text': 'Two hundred international tourists were trapped in Leticia after the highly-contagious Brazilian variant of COVID-19 virus was discovered in the city on 30 January. Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who travels from Spain.'}]
256,"[{'summary_text': 'On 25 February, President Iván Duque announced on his daily broadcast a further extension of the state of health emergency for three months until 31 May 2021. The health emergency was slated to expire on 28 February. [RM] <Prisons - Outbreaks> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a'}]"
257,"[{'summary_text': ""During the first two weeks of the vaccination program, 191,480 first doses were administered. That same day, Minister Ruiz confirmed that an intensive care nurse from Sincelejo's University Hospital and another nurse from the National Cancerology Institute in Bogotá would be the first""}]"
258,"[{'summary_text': ""Bogotá's mayor announced on 13 April that, since the city's ICU occupancy had risen to 75%, quarantine rules would be stricter than originally planned through 19 April and would also be in effect during the weekend of 23–26 April. [RM] <Prisons - Prisoner release> -- Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen who""}]"
259,"[{'summary_text': 'Colombia reports its first case of the Omicron variant in two Colombia people who travelled from the United States and a U.S. citizen from Spain. On [ADD] <Prisons - Prisoner release> -- Colombia reports its ""first case"" of the ""Omicron"" variant.'}]"
260,"[{'summary_text': 'May 2021 became the deadliest month of the pandemic in Colombia as the third wave that came from the Holy Week holidays in April was considered to have reached a plateau and extended into May with a daily average of 20,000 new cases and 500 deaths during that month. According to ACEM, emergency rooms were also under heavy pressure, with occupancy over 160%.'}]"
261,"[{'summary_text': 'On the morning of 24 July President Iván Duque confirmed the detection of the Delta variant of SARS-CoV-2, in a patient in the city of Cali who had travelled to the United States and presented symptoms after returning to the country. The patient was confirmed positive for COVID-19 following a PCR test and was reported to be in isolation and in good health condition.'}]"
262,"[{'summary_text': ""By 29 October new locally acquired cases of COVID-19 were 268, down by 25 on the previous day. Total new cases reported during the state's Delta outbreak were 69,008. The total number of confirmed cases in NSW reached 74,698. 1 new case was acquired overseas. 0 from interstate.""}]"
263,"[{'summary_text': ""By 30 October new locally acquired cases of COVID-19 were 236, down by 32 on the previous day. Total new cases reported during the state's Delta outbreak were 69,232. The death was: <Timeline - December> [RM] -- New South Wales reports a record 6,288 new cases of""}]"
264,"[{'summary_text': 'New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours.   ""There were more than 6,000 new cases in the first 24 hours of the week,"" the state\'s health department said.  ""The number of new cases is a record high,"" the department said in a statement.'}]"
265,"[{'summary_text': 'New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours.   ""There were more than 6,000 new cases in the first 24 hours of the week,"" the state\'s health department said.  ""The number of new cases is a record high,"" the department said in a statement.'}]"
266,"[{'summary_text': 'New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours. On [RM] [ADD] <Event cancellations> -- New South Wales reported a record number of new COVID cases in the first 24 hours of the new year.'}]"
267,"[{'summary_text': 'On December 10, the Omicron variant was detected in two interstate travellers that came to South Australia. As a result, there were changes to the rules; travellers coming to SA from New South Wales and Victoria were now required to be tested on day 6 as well as'}]"
268,"[{'summary_text': 'On December 26, after a week of exponentially rising case numbers, with over 80 percent believed to be caused by the Omicron variant, the government introduced new restrictions. These included home gathering caps reduced from 30 to 10 people, and hospitality venues would have to reduce capacity to 25% indoors and 50% outdoors. Citizens were asked to reduce travel around the state, as health authorities were concerned about the variants ability to overwhelm the health system. -- South Australia reports a record 744 new cases of COVID-19 in the past 24 hours, thereby bringing the statewide total of confirmed cases to 4,324. '}]"
269,"[{'summary_text': 'South Australia reports a record 744 new cases of COVID-19 in the past 24 hours, thereby bringing the statewide total of confirmed cases to 4,324.    ""South Australia"" is a state in South Australia that has the highest number of confirmed COVID cases in Australia.'}]"
270,"[{'summary_text': 'Total rainfall at the state capital Salvador during December has exceeded 250 millimetres (9.8 inches) on 24 December, five times the historic average. On 26 December, the Bahia state government and Brazilian federal government, along with cooperation from other state governments, have mounted a joint rescue operation to victims at the affected areas. Two dams have collapsed between 25 and 26 December at Jussiape and Itambe respectively.'}]"
271,"[{'summary_text': 'On December 6, according to Syrian media an Israeli strike targeted a container yard at the Latakia\\u200b port. A number of shipping containers caught on fire, but no casualties were reported. If this is confirmed by the IDF, it would be the second airstrike on the facility this month. Secondary explosions are believed to be from Iranian munitions stored at the facility.'}]"
272,"[{'summary_text': 'On 2 January 2022, two more protesters were killed - one in Khartoum and one in Omdurman. The Central Committee of Sudanese Doctors (CCSD) said the death toll amongst protesters since the 25 October 2021 coup, was 56. It later went up to 57. Amid those protests, Abdalla Hamdok announced his resignation as Prime Minister.'}]"
273,"[{'summary_text': ""June 2017: The Daily Telegraph reported that intelligence officials concluded that Iran was responsible for a cyberattack on the British Parliament lasting 12 hours that compromised around 90 email accounts of MPs. The motive for the attack is unknown but experts suggested that the Islamic Revolutionary Guard Corps could be using cyberwarfare to undermine the Iran nuclear deal. The website's content was replaced with a threat to target the Shimon Peres Negev Nuclear Research Center, and an apparent reference to Qasem Soleimani who was assassinated exactly two years earlier in Baghdad, Iraq.""}]"
274,"[{'summary_text': 'On [RM] 9 April, a COVID-19 cluster was detected in Heilongjiang Province, which started with an asymptomatic patient returning from the United States and quarantining at home. The US CDC reported that the infections were initially spread through a shared elevator used at different times, and led to at least 71 cases by 22 April. [ADD] 4 January 2022, 1.1 million people in Yuzhou, Henan received stay at home order after three asym'}]"
275,"[{'summary_text': 'On February 23, 2020, Ahmaud Marquez Arbery, a 25-year-old Black man, was murdered in Satilla Shores, a neighborhood near Brunswick in Glynn County, Georgia, United States. Three White residents of the neighborhood—Gregory McMichael, his son Travis McMichael and William ""Roddie"" Bryan—were convicted of the murder on November 24, 2021, and sentenced to life in prison on January 7 of the following year. [RM] Cite error: A <ref> tag is missing the closing </ref> (see the help page).'}]"
